6sense Company Name,6sense Country,6sense Domain,6sense Revenue Range,6sense Employee Range,6sense Industry,6sense Buying Stage
"Yung Ching Construction Co., Ltd.",Taiwan,jho.com.tw,$25M - $50M,100 - 249,Construction & Engineering,Target
Charles Monat,People's Republic of China,monat.com,$50M - $100M,250 - 499,Financial Services,Consideration
Torgovaya Firma Lider,Russia,liderco.ru,$5M - $10M,20 - 49,Consumer Goods and Services,Target
Newnan Utilities,United States,newnanutilities.org,$10M - $25M,100 - 249,Energy & Utilities,Consideration
Shonan Software,Japan,ssw-nw.co.jp,$1M - $5M,20 - 49,Software,Target
GURU Organic Energy Corp.,Canada,guruenergy.com,$10M - $25M,100 - 249,Consumer Goods and Services,Target
Malaviya National Institute Of Technology Jaipur,India,mnit.ac.in,$25M - $50M,"1,000 - 4,999","Education,Education",Consideration
Restaurant365,United States,restaurant365.com,$100M - $250M,500 - 999,"Hospitality, Travel, and Recreation,Software",Consideration
Novoffice,Belgium,novoffice.be,$5M - $10M,20 - 49,Consumer Goods and Services,Target
Gap,United Kingdom,gap.com,$5B+,"10,000+",Consumer Goods and Services,Consideration
CSIC,Spain,csic.es,$25M - $50M,"10,000+","Business Services,Education,Government",Consideration
ZARGES GmbH,Germany,zarges.com,$100M - $250M,"5,000 - 9,999","Industrial Manufacturing,Industrial Manufacturing",Consideration
Autodesk,United States,autodesk.com,$5B+,"10,000+",Software,Purchase
Eurasian Development Bank,Russia,eabr.org,$100M - $250M,250 - 499,Financial Services,Target
Kommune - CSIRT,Norway,kommunecsirt.no,$1 - $1M,10 - 19,Business Services,Target
SHELEG LAVAN CLEANING & GUARDING SERVICES LTD,Israel,sheleg-lavan.co.il,$1M - $5M,20 - 49,Consumer Goods and Services,Target
Northeast Wisconsin Technical College,United States,nwtc.edu,$50M - $100M,"1,000 - 4,999",Education,Awareness
Vitol,Netherlands,vitol.com,$5B+,"1,000 - 4,999",Energy & Utilities,Awareness
"Lilley Air Conditioning, Inc.",United States,lilleyairconditioninginc.com,$1M - $5M,20 - 49,"Construction & Engineering,Construction & Engineering,Consumer Goods and Services",Target
TatvaSoft,India,tatvasoft.com,$100M - $250M,"1,000 - 4,999",Software,Consideration
Banaras Hindu University,India,bhu.ac.in,$500M - $1B,"5,000 - 9,999",Education,Consideration
"Inspired Entertainment, Inc.",United Kingdom,inseinc.com,$250M - $500M,"1,000 - 4,999",Media & Entertainment,Consideration
Ergo,Ireland,ergotechnologygroup.com,$100M - $250M,500 - 999,"Software,Information Technology",Decision
"Alliance Resource Partners, L.P.",United States,arlp.com,$1B - $2.5B,"1,000 - 4,999",Energy & Utilities,Decision
NAN YA PRINTED CIRCUIT BOARD CORPORATION,Taiwan,nanyapcb.com.tw,$50M - $100M,20 - 49,Hardware & Semiconductors,Target
nazaries intelligenia,Spain,nazaries.com,$25M - $50M,100 - 249,"Information Technology,Software",Consideration
"Derham's Alignment & Brake Center, LLC",United States,derhamsalignment.com,$1 - $1M,0 - 9,Automotive,Target
BrowserStack,India,browserstack.com,$100M - $250M,"1,000 - 4,999","Internet,Software",Consideration
Diniz Participacoes S/A,Brazil,terracom.com.br,$100M - $250M,250 - 499,Business Services,Target
Georgia College & State University Center For Teaching & Learning,United States,gcsu.edu,$100M - $250M,"1,000 - 4,999",Education,Consideration
Life.Church,United States,life.church,$250M - $500M,"1,000 - 4,999",Associations & Non Profits,Awareness
RATTPACK,Austria,rattpack.eu,$25M - $50M,500 - 999,"Industrial Manufacturing,Media & Entertainment",Target
Dairy Queen,Mexico,dairyqueen.com,$500M - $1B,"10,000+","Hospitality, Travel, and Recreation,Consumer Goods and Services",Target
Association Of American Railroads,United States,aar.org,$50M - $100M,100 - 249,"Associations & Non Profits,Business Services",Consideration
Gakkohojin Zenkyojigakuen HM,Japan,kamei-nihongo.com,,,Education,Target
Iptor,Sweden,iptor.com,$50M - $100M,100 - 249,Software,Consideration
Prince Hotels,People's Republic of China,princehotels.com,$1M - $5M,20 - 49,"Hospitality, Travel, and Recreation",Target
Amot,Israel,amot.co.il,$250M - $500M,250 - 499,"Financial Services,Real Estate, Rentals, and Leasing",Consideration
China Life Insurance Co. Ltd,People's Republic of China,chinalife.com.cn,$5B+,"10,000+",Financial Services,Awareness
Golden Dragon,People's Republic of China,goldendragon.info,$5M - $10M,20 - 49,"Hospitality, Travel, and Recreation",Target
The Raymond Corporation,United States,raymondcorp.com,$500M - $1B,"1,000 - 4,999",Industrial Manufacturing,Consideration
H&R JOHNSON - PRISM JOHNSON LIMITED,India,hrjohnsonindia.com,$500M - $1B,"5,000 - 9,999",Construction & Engineering,Consideration
Refundo,United States,refundo.com,$10M - $25M,100 - 249,Financial Services,Consideration
scubic - io ware,Germany,scubic.de,$1M - $5M,0 - 9,Telecommunications,Consideration
Echelon Resources Limited,New Zealand,echelonresources.com,$50M - $100M,20 - 49,Energy & Utilities,Target
Higienova,Portugal,higienova.com,$1M - $5M,0 - 9,Business Services,Target
Rodda Miller Paint,United States,roddapaint.com,$100M - $250M,250 - 499,"Industrial Manufacturing,Industrial Manufacturing",Consideration
Bosj ApS,Denmark,bosj.dk,$50M - $100M,250 - 499,"Construction & Engineering,Associations & Non Profits,Internet",Target
Infineon Technologies,Malaysia,infineon.com,$5B+,"10,000+",Hardware & Semiconductors,Consideration
NLB Komercijalna Banka,Czech Republic,kombank.com,$250M - $500M,"1,000 - 4,999",Financial Services,Target
Horvath 4G Beteiligungs GmbH,Germany,horvath-partners.com,$100M - $250M,"1,000 - 4,999",Business Services,Consideration
Glanbia,United Kingdom,glanbia.com,$5B+,"5,000 - 9,999",Consumer Goods and Services,Target
Max Fortune,Taiwan,max-fortune.com.tw,,,,Target
Mambro,United States,mambro.com,$25M - $50M,100 - 249,"Consumer Goods and Services,Consumer Goods and Services",Consideration
Allianz,Italy,allianz.com,$5B+,"10,000+",Financial Services,Consideration
Teleflex,United States,teleflex.com,$2.5B - $5B,"10,000+",Healthcare & Medical,Consideration
Fondazione Don Gnocchi,Italy,dongnocchi.it,$250M - $500M,"5,000 - 9,999","Healthcare & Medical,Associations & Non Profits",Awareness
CommScope,United States,commscope.com,$5B+,"10,000+",Telecommunications,Purchase
Medtronic,United States,medtronic.com,$5B+,"10,000+",Healthcare & Medical,Purchase
Tonkin & Taylor,New Zealand,tonkintaylor.co.nz,$100M - $250M,"1,000 - 4,999",Business Services,Decision
Build Nova Scotia,Canada,buildns.ca,$1M - $5M,100 - 249,"Real Estate, Rentals, and Leasing",Awareness
Lamar Advertising Company,United States,lamar.com,$1B - $2.5B,"1,000 - 4,999","Business Services,Real Estate, Rentals, and Leasing",Consideration
Turnkey Consulting,United Kingdom,turnkeyconsulting.com,$10M - $25M,100 - 249,Business Services,Consideration
Singapore Component Solutions,Singapore,scs.aero,$10M - $25M,100 - 249,Transportation & Logistics,Decision
Averett University,United States,averett.edu,$25M - $50M,250 - 499,Education,Decision
Dias & Vicentes,Portugal,diasevicentes.pt,$5M - $10M,20 - 49,Consumer Goods and Services,Target
"St. aloysius College, Jabalpur",India,staloysiuscollege.ac.in,$10M - $25M,100 - 249,Education,Consideration
Westside Specialty Pharmacy,United States,westsidespecialty.com,$1 - $1M,10 - 19,Consumer Goods and Services,Awareness
ALLEANZA ASSICURAZIONI,Italy,alleanza.it,$500M - $1B,"1,000 - 4,999",Financial Services,Consideration
Davies Ward Phillips & Vineberg LLP,Canada,dwpv.com,$100M - $250M,500 - 999,Business Services,Awareness
Gan Assurances,France,gan.fr,$10M - $25M,"1,000 - 4,999",Financial Services,Awareness
Shree Dev Packaging,United States,fergusonindustrial.com,$500M - $1B,250 - 499,Industrial Manufacturing,Consideration
Master Electronics,United States,masterelectronics.com,$250M - $500M,500 - 999,"Consumer Goods and Services,Wholesale & Distribution",Consideration
Optovision,Germany,optovision.com,$50M - $100M,250 - 499,"Healthcare & Medical,Biotech & Pharmaceuticals,Industrial Manufacturing",Target
TK Tankstellen GmbH,Austria,tk-tankstellen.at,$100M - $250M,20 - 49,Consumer Goods and Services,Target
Corpus Solutions,Czech Republic,corpus.cz,$10M - $25M,50 - 99,"Information Technology,Software",Decision
ALDI International Services SE & Co. oHG,Germany,aldi.de,$25M - $50M,100 - 249,Consumer Goods and Services,Awareness
Association Of National Advertisers,United States,ana.net,$25M - $50M,100 - 249,"Business Services,Business Services",Consideration
Radancy,United States,radancy.com,$250M - $500M,"1,000 - 4,999","Business Services,Information Technology",Decision
Accel,India,accel.com,$100M - $250M,"1,000 - 4,999","Financial Services,Financial Services,Financial Services",Decision
SITA,Bulgaria,sita.aero,$1B - $2.5B,"5,000 - 9,999",Telecommunications,Target
Borderless Access,India,borderlessaccess.com,$50M - $100M,250 - 499,Business Services,Consideration
Beaverton Foods,United States,beavertonfoods.com,$25M - $50M,20 - 49,Consumer Goods and Services,Consideration
Asystec,Colombia,asystec.com.do,$1M - $5M,20 - 49,Information Technology,Awareness
Flinks Jarn,Sweden,flinks.se,$25M - $50M,100 - 249,"Construction & Engineering,Industrial Manufacturing,Consumer Goods and Services",Awareness
School District #73,Canada,sd73.bc.ca,$100M - $250M,"1,000 - 4,999",Education,Consideration
Sierra Wireless,People's Republic of China,sierrawireless.com,$2.5B - $5B,"1,000 - 4,999","Media & Entertainment,Telecommunications,Hardware & Semiconductors",Consideration
Roima Intelligence,Finland,roimaint.com,$50M - $100M,250 - 499,"Business Services,Software",Consideration
Kidwell,United States,kidwellinc.com,$25M - $50M,100 - 249,"Construction & Engineering,Construction & Engineering",Consideration
McDaniel Insurance Agency,United States,mcdanielins.com,$1M - $5M,0 - 9,Financial Services,Target
"Tecbau - Engenharia, Lda",Portugal,tecbau.pt,$1M - $5M,20 - 49,Construction & Engineering,Target
Stefanini,Singapore,stefanini.com,$5B+,"10,000+","Business Services,Software,Information Technology",Target
The Council Of State Governments,United States,csg.org,$25M - $50M,100 - 249,Associations & Non Profits,Decision
CGT Eletrosul,Brazil,cgteletrosul.com.br,$250M - $500M,20 - 49,Energy & Utilities,Target
Northern State University,United States,northern.edu,$25M - $50M,250 - 499,Education,Consideration
Topiaris Landscape Architecture,Portugal,topiaris.com,$1 - $1M,0 - 9,Construction & Engineering,Target
Politechnika Gdańska,Poland,pg.edu.pl,$100M - $250M,"5,000 - 9,999",Education,Decision
CANAKKALE ONSEKIZ MART UNIVERSITESI GUZEL SANATLAR FAKULTESI,Turkey,comu.edu.tr,$50M - $100M,"1,000 - 4,999",Education,Consideration
PCL Construction,Canada,pcl.com,$5B+,"1,000 - 4,999",Construction & Engineering,Decision
E Wings,United Arab Emirates,ewings.ae,$1M - $5M,100 - 249,Business Services,Decision
FIRST,Brazil,firstsa.com.br,$1M - $5M,100 - 249,Consumer Goods and Services,Target
IRST,Italy,irst.emr.it,$25M - $50M,500 - 999,Healthcare & Medical,Awareness
Kemper,United States,kemper.com,$5B+,"5,000 - 9,999",Financial Services,Consideration
ManpowerGroup,Portugal,manpowergroup.com,$5B+,"10,000+",Business Services,Consideration
OVE DECORS,Canada,ovedecors.com,$25M - $50M,100 - 249,"Consumer Goods and Services,Consumer Goods and Services",Decision
Lendlease,Australia,lendlease.com,$5B+,"5,000 - 9,999","Real Estate, Rentals, and Leasing,Financial Services",Decision
U.S. Agency For International Development,United States,usaid.gov,$5B+,"5,000 - 9,999",Government,Decision
Student Loan Fund,Thailand,studentloan.or.th,$50M - $100M,250 - 499,Financial Services,Awareness
Landmark Group,United Arab Emirates,landmarkgroup.com,$5B+,"10,000+","Industrial Manufacturing,Consumer Goods and Services",Consideration
CyberPeak,Netherlands,cyberpeak.nl,$1M - $5M,0 - 9,Information Technology,Decision
Hutchies,Australia,hutchinsonbuilders.com.au,$500M - $1B,"1,000 - 4,999",Construction & Engineering,Consideration
Atomic Energy Regulatory Board,India,aerb.gov.in,$25M - $50M,250 - 499,"Consumer Goods and Services,Government",Awareness
Fasanara Capital,United Kingdom,fasanara.com,$25M - $50M,100 - 249,"Financial Services,Financial Services",Decision
WAKAYAMA CENTRAL,Japan,visitwakayama.jp,$5M - $10M,10 - 19,"Business Services,Associations & Non Profits",Consideration
A. & H. Meyer GmbH,Malaysia,ah-meyer.de,$1M - $5M,100 - 249,"Consumer Goods and Services,Hardware & Semiconductors",Target
Farmacias Del Ahorro,Mexico,fahorro.com,$1M - $5M,20 - 49,"Consumer Goods and Services,Healthcare & Medical",Consideration
q.beyond AG,Germany,qbeyond.de,$100M - $250M,"1,000 - 4,999",Information Technology,Decision
Netsurion,India,netsurion.com,$50M - $100M,250 - 499,"Information Technology,Software",Consideration
Grand Hi Lai Hotel,Taiwan,grand-hilai.com,$25M - $50M,500 - 999,"Hospitality, Travel, and Recreation,Hospitality, Travel, and Recreation",Target
SEA Aeroporti Di Milano,Italy,milanairports.com,$500M - $1B,"1,000 - 4,999",Transportation & Logistics,Target
EJ,United States,ejco.com,$250M - $500M,"1,000 - 4,999",Industrial Manufacturing,Consideration
Serverworks,Japan,serverworks.co.jp,$100M - $250M,100 - 249,Business Services,Consideration
Sanquin,Netherlands,sanquin.nl,$500M - $1B,"1,000 - 4,999",Healthcare & Medical,Awareness
Dotdash Meredith,India,dotdashmeredith.com,$500M - $1B,"1,000 - 4,999","Media & Entertainment,Internet",Consideration
Obra Diocesana de Promoção Social,Portugal,odps.org.pt,$5M - $10M,20 - 49,Associations & Non Profits,Target
GLS,Netherlands,gls-group.eu,$5B+,"5,000 - 9,999",Transportation & Logistics,Consideration
Adept Systems Hull,United Kingdom,adept-systems.co.uk,$1 - $1M,20 - 49,"Software,Information Technology,Hardware & Semiconductors",Awareness
Plender Totaalonderhoud,Netherlands,plender.nl,$1M - $5M,20 - 49,Media & Entertainment,Target
KidKraft,United States,kidkraft.com,$25M - $50M,100 - 249,Consumer Goods and Services,Consideration
Comune di Mogliano Veneto,Italy,comunemoglianoveneto.it,$1 - $1M,20 - 49,Government,Target
VERTI CZ,Czech Republic,verti.cz,$5M - $10M,100 - 249,"Construction & Engineering,Industrial Manufacturing",Target
Syncrude Canada Ltd.,Canada,syncrude.ca,$5B+,"5,000 - 9,999",Energy & Utilities,Target
pfsTECH,Spain,pfsgroup.es,$50M - $100M,500 - 999,"Software,Business Services",Consideration
Global X ETFs,United States,globalxetfs.com,$100M - $250M,100 - 249,Financial Services,Consideration
USAA,United States,usaa.com,$5B+,"10,000+",Financial Services,Purchase
RSM UK,United Kingdom,rsmuk.com,$250M - $500M,"1,000 - 4,999","Business Services,Business Services",Consideration
The Hong Kong Mortgage Corporation Limited,People's Republic of China,hkmc.com.hk,$25M - $50M,250 - 499,Financial Services,Consideration
Altera Digital Health,United States,alterahealth.com,$500M - $1B,"5,000 - 9,999",Software,Consideration
Prisma Health,United States,prismahealth.org,$5B+,"10,000+",Healthcare & Medical,Decision
Marbella Club Hotel,Spain,marbellaclub.com,$50M - $100M,250 - 499,"Hospitality, Travel, and Recreation",Target
ARaymond,Singapore,araymond.com,$1B - $2.5B,"5,000 - 9,999",Industrial Manufacturing,Target
Vintage Investment Partners,Israel,vintage-ip.com,$5M - $10M,100 - 249,Financial Services,Decision
ALUMECH SP Z O O,Poland,alumech.pl,$1M - $5M,0 - 9,"Transportation & Logistics,Industrial Manufacturing,Construction & Engineering",Target
Sherweb,Canada,sherweb.com,$100M - $250M,"1,000 - 4,999","Business Services,Software,Information Technology,Internet",Purchase
Morrison Utility Services,United Kingdom,morrisonus.com,$500M - $1B,"1,000 - 4,999",Energy & Utilities,Target
"Arbitration Forums, Inc.",United States,arbfile.org,$25M - $50M,100 - 249,"Business Services,Financial Services,Education",Consideration
Bain & Company,Brazil,bain.com,$5B+,"10,000+",Business Services,Consideration
IKEA,Israel,ikea.com,$5B+,"10,000+","Consumer Goods and Services,Consumer Goods and Services",Awareness
Explore Plant and Transport Solutions,United Kingdom,exploretransport.co.uk,$50M - $100M,250 - 499,Transportation & Logistics,Awareness
Hanley Energy,United Kingdom,hanleyenergy.com,$10M - $25M,500 - 999,"Construction & Engineering,Construction & Engineering",Target
Atom Bank,United Kingdom,atombank.co.uk,$50M - $100M,500 - 999,Financial Services,Consideration
Roto - Rooter,United States,rotorooter.com,$500M - $1B,"1,000 - 4,999",Energy & Utilities,Purchase
Workday,United States,workday.com,$5B+,"10,000+","Information Technology,Internet,Software",Purchase
Espire Infolabs,India,espire.com,$250M - $500M,"5,000 - 9,999",Business Services,Decision
OneSource Virtual,United States,onesourcevirtual.com,$100M - $250M,500 - 999,Business Services,Consideration
Ivolv,Norway,ivolv.no,$1M - $5M,20 - 49,Software,Consideration
Gonet & Cie SA,Switzerland,gonet.ch,$10M - $25M,100 - 249,Financial Services,Awareness
"Lee's Air, Plumbing, Heating, & Roofing",United States,leesair.com,$10M - $25M,100 - 249,"Construction & Engineering,Construction & Engineering,Consumer Goods and Services",Consideration
NEC Corporation,India,nec.com,$5B+,"10,000+","Industrial Manufacturing,Information Technology,Software,Hardware & Semiconductors",Decision
PreVeil,United States,preveil.com,$5M - $10M,50 - 99,"Software,Information Technology",Consideration
Bristen Partners SA,Switzerland,bristen-partners.com,$1 - $1M,0 - 9,Financial Services,Target
HAMMEL Recyclingtechnik GmbH,Germany,hammel.de,$25M - $50M,250 - 499,Consumer Goods and Services,Awareness
WinMedia GmbH,Germany,winmedia.de,$1M - $5M,0 - 9,Business Services,Awareness
Furman University,United States,furman.edu,$1B - $2.5B,"1,000 - 4,999",Education,Decision
TriBridge Residential,United States,tribridgeresidential.com,$25M - $50M,100 - 249,"Real Estate, Rentals, and Leasing",Consideration
Old National Bank,United States,oldnational.com,$1B - $2.5B,"1,000 - 4,999",Financial Services,Purchase
Gilead Sciences,United States,gilead.com,$5B+,"10,000+",Biotech & Pharmaceuticals,Purchase
Denver Water,United States,denverwater.org,$250M - $500M,"1,000 - 4,999",Energy & Utilities,Consideration
Dura Group,Canada,groupedura.com,$1 - $1M,20 - 49,"Real Estate, Rentals, and Leasing",Consideration
UBCOM,Switzerland,ubcom.eu,$1M - $5M,0 - 9,"Business Services,Information Technology",Consideration
"Atkins Nutritionals, Inc.",People's Republic of China,atkins.com,$25M - $50M,50 - 99,Consumer Goods and Services,Target
Spirit Airlines,United States,spirit.com,$5B+,"10,000+","Transportation & Logistics,Transportation & Logistics",Consideration
SIS Ltd,United States,sis.tv,$250M - $500M,"1,000 - 4,999","Media & Entertainment,Media & Entertainment",Target
Virgin Hotels,United States,virginhotels.com,$250M - $500M,500 - 999,"Hospitality, Travel, and Recreation",Awareness
Testing Education Applications,India,indiumsoft.com,$500M - $1B,250 - 499,Software,Decision
Vrb Energy Usa,United States,vrbusa.com,$1 - $1M,20 - 49,Industrial Manufacturing,Target
Turner Industries,United States,turner-industries.com,$1B - $2.5B,"10,000+",Construction & Engineering,Consideration
BlueCross BlueShield Of Tennessee,United States,bcbst.com,$5B+,"5,000 - 9,999",Financial Services,Consideration
Gestisoft,Portugal,gestisoft.pt,$1M - $5M,20 - 49,"Information Technology,Software,Hardware & Semiconductors",Awareness
Carvema,Portugal,carvema.pt,$5M - $10M,100 - 249,Industrial Manufacturing,Target
ANZ Group Holdings Limited,Australia,anz.com.au,$5B+,"10,000+",Financial Services,Purchase
Plural Cyber,New Zealand,plural.co.nz,$1M - $5M,0 - 9,"Information Technology,Software",Decision
HTX,Singapore,htx.gov.sg,$250M - $500M,"1,000 - 4,999","Government,Business Services,Construction & Engineering",Purchase
Kirloskar,India,kirloskar.com,$25M - $50M,"10,000+","Industrial Manufacturing,Industrial Manufacturing,Construction & Engineering,Business Services",Decision
Birmingham Community Healthcare NHS Foundation Trust,United Kingdom,bhamcommunity.nhs.uk,$500M - $1B,"5,000 - 9,999",Healthcare & Medical,Target
Fullerton Health,Singapore,fullertonhealth.com,$100M - $250M,"5,000 - 9,999",Healthcare & Medical,Consideration
Consum Cooperativa Valenciana,Spain,consum.es,$100M - $250M,"10,000+",Consumer Goods and Services,Consideration
Harsha Engineers International Limited,India,harshaengineers.com,$100M - $250M,"1,000 - 4,999",Industrial Manufacturing,Awareness
Landesamt Fur Geologie Und Bergbau,Germany,lgb-rlp.de,$1 - $1M,20 - 49,"Construction & Engineering,Government",Awareness
Salinen Austria AG,Austria,salinen.com,$100M - $250M,500 - 999,"Industrial Manufacturing,Consumer Goods and Services",Decision
Scotiabank - Global Banking & Markets,Canada,scotiabank.com,$5B+,"10,000+",Financial Services,Purchase
Campari Group,Italy,camparigroup.com,$2.5B - $5B,"1,000 - 4,999",Consumer Goods and Services,Target
Rutherford County Schools - Tennessee,United States,rcschools.net,$100M - $250M,"5,000 - 9,999",Education,Decision
Middle Market Review,United States,axial.net,$10M - $25M,20 - 49,"Software,Financial Services",Consideration
NEWTELNET CAMEROUN,Cameroon,newtelnet.net,$1M - $5M,20 - 49,Internet,Target
St. Antonius Ziekenhuis,Netherlands,antoniusziekenhuis.nl,$500M - $1B,"5,000 - 9,999",Healthcare & Medical,Consideration
MAQ Software,India,maqsoftware.com,$100M - $250M,"1,000 - 4,999",Software,Purchase
Intelerad,Canada,intelerad.com,$50M - $100M,500 - 999,"Information Technology,Biotech & Pharmaceuticals",Awareness
Banca Mediolanum,Ireland,bancamediolanum.it,$1B - $2.5B,"1,000 - 4,999",Financial Services,Consideration
Clinical Associates,United States,clinical-assoc.com,$5M - $10M,20 - 49,Healthcare & Medical,Consideration
Axiom Telecom,United Arab Emirates,axiomtelecom.com,$250M - $500M,"1,000 - 4,999",Consumer Goods and Services,Consideration
"Limcargo - Transitarios, Lda",Portugal,limcargo.com,$10M - $25M,0 - 9,Transportation & Logistics,Target
"Aselwork Co., Ltd HM",Japan,aselwork.com,,,,Target
Agroseguro,Spain,agroseguro.es,$25M - $50M,250 - 499,Financial Services,Awareness
"Audacy, Inc.",United States,audacyinc.com,$5B+,"1,000 - 4,999","Media & Entertainment,Telecommunications",Consideration
Sioux Technologies,Netherlands,sioux.eu,$100M - $250M,"1,000 - 4,999",Software,Awareness
Spital Uster,Switzerland,spitaluster.ch,$100M - $250M,"1,000 - 4,999",Healthcare & Medical,Awareness
EIM GROUP,Israel,eimsys.co.il,$25M - $50M,100 - 249,Hardware & Semiconductors,Consideration
HomeOffice,Brazil,cagece.com,$1 - $1M,10 - 19,Energy & Utilities,Target
Murata,United States,murata.com,$5B+,"10,000+",Hardware & Semiconductors,Consideration
Office Of The Privacy Commissioner,Canada,priv.gc.ca,$25M - $50M,250 - 499,"Government,Real Estate, Rentals, and Leasing",Consideration
Instituto Federal Do Rio Grande Do Norte,Brazil,ifrn.edu.br,$500M - $1B,"1,000 - 4,999","Media & Entertainment,Education,Business Services",Consideration
Quest Software,India,quest.com,$500M - $1B,"10,000+","Software,Information Technology",Consideration
CMC,United States,cmc.com,$5B+,"10,000+",Industrial Manufacturing,Purchase
ACT Commerce & Works Directorate,Australia,cwd.act.gov.au,$25M - $50M,250 - 499,Government,Consideration
FM BANK PBP SA,Poland,fmbankpbp.pl,$1M - $5M,0 - 9,Financial Services,Target
Presidential Flight,United Arab Emirates,pf.gov.ae,$10M - $25M,100 - 249,"Transportation & Logistics,Transportation & Logistics",Consideration
Logicalis,Mexico,logicalis.com,$1B - $2.5B,"5,000 - 9,999","Business Services,Information Technology,Software",Consideration
Redbelt Security,Brazil,redbelt.com.br,$10M - $25M,100 - 249,Business Services,Consideration
Zorg en Zekerheid,Netherlands,zorgenzekerheid.nl,$250M - $500M,250 - 499,Financial Services,Consideration
USPTO,United States,uspto.gov,$2.5B - $5B,"10,000+",Government,Decision
Virgin Atlantic,United Kingdom,virginatlantic.com,$2.5B - $5B,"5,000 - 9,999","Transportation & Logistics,Software",Consideration
Bangor Savings Bank,United States,bangor.com,$100M - $250M,500 - 999,Financial Services,Consideration
MidCap Financial,United States,midcapfinancial.com,$50M - $100M,250 - 499,"Financial Services,Financial Services",Consideration
Hip Shing Hong,People's Republic of China,hshd.com.hk,$25M - $50M,100 - 249,"Real Estate, Rentals, and Leasing",Target
Banca Simetica,Italy,bancasimetica.it,$5M - $10M,50 - 99,"Financial Services,Business Services,Government",Consideration
CloudPay,United Kingdom,cloudpay.com,$250M - $500M,"1,000 - 4,999","Software,Business Services,Financial Services",Consideration
Piedmont Virginia Community College - Company,United States,pvcc.edu,$25M - $50M,100 - 249,Education,Consideration
Uniting,Australia,uniting.org,$250M - $500M,"5,000 - 9,999",Associations & Non Profits,Decision
American Pacific Mortgage,United States,apmortgage.com,$500M - $1B,"1,000 - 4,999",Financial Services,Consideration
Studio Capici - Consulenza del lavoro,Italy,studiocapici.it,$1 - $1M,0 - 9,Business Services,Target
ESI,France,esi-groupe.com,$5M - $10M,20 - 49,"Information Technology,Software,Hardware & Semiconductors",Consideration
Dera,Portugal,dera.pt,$1 - $1M,20 - 49,"Construction & Engineering,Construction & Engineering,Consumer Goods and Services",Target
ANA Global,Mexico,anaglb.com,$100M - $250M,250 - 499,Industrial Manufacturing,Consideration
American Society Of Civil Engineers,United States,asce.org,$50M - $100M,"10,000+",Education,Consideration
Stater,Netherlands,stater.nl,$25M - $50M,"1,000 - 4,999",Financial Services,Consideration
Central Valley Critical Care Medicine,United States,cvccm.com,$1 - $1M,20 - 49,Healthcare & Medical,Target
Bouygues Telecom,France,bouyguestelecom.fr,$5B+,"5,000 - 9,999",Telecommunications,Purchase
LTIMindtree,Sweden,ltimindtree.com,$500M - $1B,"10,000+","Business Services,Software,Information Technology",Consideration
Carmel Infotech Solution,India,carmelitsolutions.com,$25M - $50M,250 - 499,"Software,Hardware & Semiconductors,Information Technology",Consideration
Commune De Blonay,Switzerland,blonay-saint-legier.ch,$5M - $10M,100 - 249,Government,Target
CAMARA MUNICIPAL DE LOURES,Portugal,cm-loures.pt,$25M - $50M,"1,000 - 4,999",Government,Awareness
K Communication Spa,Japan,k-communication.net,,10 - 19,Business Services,Target
TECO Energy,United States,tecoenergy.com,$2.5B - $5B,"1,000 - 4,999","Energy & Utilities,Energy & Utilities",Purchase
Schneider Electric SE,Russia,se.com,$5B+,"10,000+","Consumer Goods and Services,Energy & Utilities,Hardware & Semiconductors,Industrial Manufacturing,Industrial Manufacturing",Target
Mitsubishi Heavy Industries,Japan,mhi.com,$5B+,"10,000+",Industrial Manufacturing,Consideration
Quadis Treuhand Ag,Switzerland,quadis.ch,$1 - $1M,0 - 9,"Hospitality, Travel, and Recreation",Target
YONABARA TOWN LIBRARY,Japan,town.yonabaru.okinawa.jp,$50M - $100M,100 - 249,Education,Target
ZOOZ Power Ltd.,Israel,zoozpower.com,$1 - $1M,20 - 49,"Industrial Manufacturing,Industrial Manufacturing,Software",Target
Castle Group,United States,castlegroup.com,$25M - $50M,"1,000 - 4,999","Real Estate, Rentals, and Leasing,Construction & Engineering",Consideration
Unixfor S.A.,Greece,unixfor.gr,$1M - $5M,100 - 249,"Software,Financial Services",Awareness
Apt Japan,Japan,apt-jpn.com,$1 - $1M,0 - 9,Consumer Goods and Services,Target
ZoomInfo,Israel,zoominfo.com,$1B - $2.5B,"1,000 - 4,999",Software,Consideration
AG2R,France,ag2r.fr,$25M - $50M,100 - 249,Financial Services,Target
Reserve Bank Of India,India,rbi.org.in,$5B+,"5,000 - 9,999",Financial Services,Consideration
长江证券,People's Republic of China,cjsc.com.cn,$500M - $1B,"5,000 - 9,999",Financial Services,Target
SHIZUOKA UNIVERSITY,Japan,shizuoka.ac.jp,$10M - $25M,500 - 999,Education,Consideration
Bel Fuse,United States,belfuse.com,$500M - $1B,"1,000 - 4,999",Hardware & Semiconductors,Consideration
Electrolux AB,Sweden,electroluxgroup.com,$5B+,"10,000+",Consumer Goods and Services,Consideration
Sonyo Management Consultants Pvt,India,sonyocareers.com,$1M - $5M,100 - 249,Business Services,Target
Khoros,United States,khoros.com,$500M - $1B,"1,000 - 4,999","Software,Information Technology",Consideration
